title,where,date,date_end,how,scope,artwork,media,artist,where_url,event_url,annote,url,notes
"Seoul Sangsangryok Baljeonso (Imagination Powerhouse)","City Hall, Seoul, Korea","2014-10-01","2014-10-21","Juried competition","International","Archipelago","Sand-sculpture with multiple projections and shadow interactions","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","1st prize (~$30,000)","",""
"Artience Project Daejeon","Korea Research Institute of Standards and Science, Daejeon, Korea"," 2014-08-23","2014-09-02","Curated","National","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Life is very Beautiful","Yeulmaru Exhibition Hall, Yeosu, Korea","2014-02-18","2014-04-06","Curated","National","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://www.yeulmaru.org/home2/main.php","","","",""
"Life is very Beautiful","Space-K Gallery, KI Building, KAIST, Daejeon, Korea","2013-10-10","2013-12-6","Curated","National","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://kis.kaist.ac.kr/index.php?siteurl:/01/05.php","","","http://museum.kaist.ac.kr/wp/?page_id:1123",""
"Systems and Subversions","IDEA Space, Edith Kinney Gaylord Cornerstone Arts Center, Colorado Springs, USA","2013-10-28","2013-11-5","Curated","International","Archipelago","Sand-sculpture with multiple projections and shadow interactions","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Korea Electronics Show 2013","KINTEX Convention Center, Ilsan, Korea","2013-10-07","2013-10-10","Commissioned","National","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://www.kes.org/index.do","","","Using Oculus Rift"
"AAPPAC (Association of Asia Pacific Performing Arts Centres) Conference","Daejeon Culture & Arts Center, Daejeon, Korea","2013-10-09","","Curated","International","Live by the Code","","Graham Wakefield and Woon Seung Yeo","","","","",""
"Media + Life: Sensorial Collaboration","College of Art, Tokyo Polytechnic University, Tokyo, Japan","2013-02-04","2013-02-07","Invited","International","Chronoform Studies of Artificial Life","Mixed Media: 3D Printing, Lenticular Print, Rendered Image","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Microwave International New Media Festival","City Hall, Hong Kong","2012-11-03","2012-11-25","Curated","International","Flux","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"7th Digital Art Festival Taipei: Artificial Nature","Songshan Cultural and Creative Park, Digital Art Center, Taipei, Taiwan","2012-11-06","2012-11-25","Curated","International","Flux","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Project Daejeon Biennale 2012: Energy ()","Daejon Museum of Art, Daejon, Korea","2012-09-19","2012-11-18","Curated","International","Flux","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Bits & Pieces","AlloSphere, California NanoSystems Institute, UCSB, USA","2012-05-29","","Invited","Regional","Flux","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Collider 04: Spectacle","Emily Davis Art Gallery, Myers School of Art, The University of Akron","2012-03-19","2012-04-13","Curated","National","Flux","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://c4.collider.co/kinect_cube/","","",""
"Cross-Reality: Traversed & Encompassed Vision","Arts & Information Center, College of Art, Tokyo Polytechnic University, Japan","2012-02-20","2012-02-22","Curated","International","Makeshift","Generative audiovisual composition","Graham Wakefield","","","","",""
"Urban Organism: Triangle Screenscape","Seoul Square media facade. Seoul, Korea","2011-10-11","2011-10-30","Awarded","International","City Life (도시 생명)","Generative/narrative animation for media facade","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Questionable Utility","TransLAB, California NanoSystems Institute, Santa Barbara, USA","2011-06-09","","Juried","Regional","Time of Doubles","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://show.mat.ucsb.edu/","","",""
"Type:wall","Seoul Olympic Museum of Art (SOMA), Korea","2011-03-31","2011-05-29","Curated","National","Time of Doubles","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://www.somamuseum.org/","http://www.somamuseum.org/contents/display/past_view.asp?txtXHBT_SEQ_N:81&amp;txtPage:1&amp;txtSearch_XHBT_ST_D:&amp;txtSearch_XHBT_END_D:&amp;cbxSearch_Type:XHBT_NM&amp;txtSearch_Word:","","",""
"Prologue/Prototype","Gallery Sobab, Gyeonggi-Do, Korea","2011-04-29","2011-05-15","Curated","National","Alien-Field","Generative video","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://mast.mat.ucsb.edu/format.html","","",""
"Collider 03: Transform","Emily Davis Gallery, Akron Ohio, USA","2011-03-22","2011-04-16","Curated","International","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://www.colliderexhibitseries.com/","","",""
"SIGGRAPH ASIA Art Gallery","Hong Kong Exhibition and Conference Centre, Hong Kong SAR","2011-02-13","2011-02-15","Juried","International","Time of Doubles","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://www.siggraph.org/asia2011/","","",""
"DVD Content","Computer Music Journal 35:4, MIT Press.","2011","","Juried","International","Dupin's Spaceship","","Graham Wakefield and Wesley Smith","","","","",""
"Something You Don't Know","California NanoSystems Institute, University of California Santa Barbara, USA","2010-05-24","2010-05-27","Curated","Regional","Makeshift","Generative audiovisual composition","Graham Wakefield","","http://www.mat.ucsb.edu/show/2010/","","",""
"Hyperbody ProtoSpace","Technical University Delft, Holland","2010-05-06","2010-05-07","Invited","International","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://www.bk.tudelft.nl/live/pagina.jsp?id:022afd95-6275-4991-9060-02b2b2aefad3&amp;lang:en","","","",""
"AlloSphere","California NanoSystems Institute, Santa Barbara, USA","2009","2010","Periodic local installation","","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://www.allosphere.ucsb.edu/","","","",""
"TransLAB","University of California Santa Barbara, USA","2009","2010","Periodic local installation","","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://translab.mat.ucsb.edu/","","","",""
"SIGGRAPH ASIA Art Gallery","Yokohama Pacifico Convention Center, Yokohama, Japan","2009-12-17","2009-12-19","Juried","International","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","http://www.siggraph.org/asia2009/","","",""
"ThisAbility vs. Disability","Total Museum of Contemporary Art, Seoul, Korea","2008-07-22","2009-08-24","Curated","International","Infinite Game","Interactive multi-modal installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Space Exploration Exhibition","Chunjin Exhibition Center. Chunjin, China","2009-07-25","2009-07-28","Commissioned","","Eternal Return","Multi-projector generative installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Space Exploration Exhibition","Chunjin Exhibition Center. Chunjin, China","2009-07-25","2009-07-28","Commissioned","","Fluid Space","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
